0,1,2,3,4
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.2108617,0.18768886,0.18975866,0.20214863,0.20954219
0.2108275,0.18773723,0.18980333,0.20212641,0.2095055
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21073723,0.18786442,0.18991719,0.20202284,0.20945829
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688125,0.21653551,0.18884927,0.18736567
0.21085668,0.18769288,0.18976074,0.20214434,0.20954534
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.2108565,0.18769638,0.18976374,0.20213331,0.20955
0.19091709,0.21608989,0.21581714,0.18922192,0.18795401
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21086264,0.18768772,0.18975788,0.20215078,0.20954093
0.21078274,0.18780027,0.18986158,0.2020974,0.20945796
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036835,0.21688117,0.21653543,0.1888493,0.1873657
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.210862,0.18768862,0.18975854,0.20214969,0.20954111
0.19036834,0.21688126,0.21653552,0.18884929,0.18736567
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.190412,0.21681827,0.21647833,0.1888788,0.18741265
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085973,0.1876917,0.1897609,0.20214432,0.2095433
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21083651,0.18772285,0.18979001,0.20211896,0.20953162
0.19036883,0.21688052,0.21653484,0.18884961,0.18736619
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085823,0.18769225,0.18976279,0.20213825,0.20954849
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.210862,0.18768862,0.18975854,0.20214969,0.20954111
0.19036834,0.21688126,0.21653552,0.18884929,0.18736567
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.190412,0.21681827,0.21647833,0.1888788,0.18741265
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085973,0.1876917,0.1897609,0.20214432,0.2095433
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21083651,0.18772285,0.18979001,0.20211896,0.20953162
0.19036883,0.21688052,0.21653484,0.18884961,0.18736619
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085823,0.18769225,0.18976279,0.20213825,0.20954849
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.20824459,0.19137546,0.19317141,0.20052303,0.20668554
0.19037618,0.2168699,0.21652521,0.1888546,0.18737409
0.19036834,0.21688126,0.21653552,0.18884929,0.18736567
0.21085945,0.18769224,0.18976189,0.2021481,0.20953834
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085794,0.1876909,0.18975896,0.20214845,0.2095437
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.210859,0.1876926,0.1897612,0.20214126,0.20954597
0.21086285,0.1876875,0.18975782,0.20215108,0.20954078
0.19036905,0.21688019,0.21653454,0.18884978,0.18736644
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
0.21085797,0.18769464,0.18976259,0.20213655,0.20954825
0.19036832,0.21688126,0.21653552,0.18884926,0.18736565
